result_id,retailer,retailer_type,attribute,rule_type,deviation_percent,page_type,verdict,verdict_reason,created_at
"d6a6ee2e-c856-4f0d-824f-10e1f7767ecc","PetXL-NO","web","extract.outOfStock","historic","19.51","detail","anomaly","Standard","2024-05-03T04:31:23.577Z"
"5c17e391-0e06-49f2-aad7-4db5196d611e","Shipt-Publix-35242-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:23.823Z"
"4da56693-8f67-44b7-aeee-62d29c66fe56","Lookfantastic-UK","web","extract.promotionText","historic","24.51","detail","anomaly","Standard","2024-05-03T04:31:23.885Z"
"05757271-892c-4e84-9b8d-06f4f63e6f70","Zooplus-PL","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:26.293Z"
"05e07a5d-d4e7-4ef8-bc8b-e72983ffeadc","Zooplus-DE","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:28.245Z"
"3b8bf2ab-44b4-4bd8-be3e-f9671a15038e","Doordash-Alberstons-US","web","extract.promotionText","historic","34.4","detail","anomaly","Standard","2024-05-03T04:31:28.755Z"
"48ebaf2c-8c96-4115-8b18-42bd824c3a66","Amazon-FR-CA","web","feedback.avgRating","historic","19.33","detail","anomaly","Standard","2024-05-03T04:31:28.926Z"
"0eab4b15-667e-447d-8b8d-e1269d4dc99d","Amazon-FR-CA","web","feedback.commentCount","historic","19.33","detail","anomaly","Standard","2024-05-03T04:31:28.926Z"
"1aa91b4f-6ae9-48ee-952c-c93ff9899397","Zoolini-AT","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:29.090Z"
"8d21f2b8-ead8-45f9-884b-662df147df0b","CocoonCenter-UK","web","extract.promotionText","historic","15.11","detail","anomaly","Standard","2024-05-03T04:31:29.127Z"
"448d290e-82dd-4ff2-a50c-a27633a6d375","Dicks-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:30.717Z"
"d63d40cb-e374-4fde-aad8-e1124d98eb05","SuperZoo-CL","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:31.330Z"
